"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 04 05:01:39 GMT 2023","Tue Apr 04 05:01:39 GMT 2023","334","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testNegativeOrInvalidValues","Test negative or invalid values",""
"passed","Tue Apr 04 05:01:33 GMT 2023","Tue Apr 04 05:01:34 GMT 2023","861","","Users Tests","","gorest.api.tests.UsersTests","createNewUser","Create new user",""
"passed","Tue Apr 04 05:01:39 GMT 2023","Tue Apr 04 05:01:39 GMT 2023","364","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testDefaultPaginationValues","Test default pagination values",""
"passed","Tue Apr 04 05:01:29 GMT 2023","Tue Apr 04 05:01:29 GMT 2023","341","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithInvalidStatus","Test search with invalid status",""
"passed","Tue Apr 04 05:01:34 GMT 2023","Tue Apr 04 05:01:34 GMT 2023","396","","Users Tests","","gorest.api.tests.UsersTests","getNewUser","Get new user",""
"passed","Tue Apr 04 05:01:32 GMT 2023","Tue Apr 04 05:01:32 GMT 2023","367","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByActiveStatus","Test search by active status",""
"passed","Tue Apr 04 05:01:42 GMT 2023","Tue Apr 04 05:01:43 GMT 2023","385","","Users Tests","","gorest.api.tests.PostsTests","updateCreatedPost","Update created new post - PUT",""
"passed","Tue Apr 04 05:01:28 GMT 2023","Tue Apr 04 05:01:29 GMT 2023","739","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithInvalidGender","Test search with invalid gender",""
"passed","Tue Apr 04 05:01:29 GMT 2023","Tue Apr 04 05:01:30 GMT 2023","394","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByMultipleFields","Test search by multiple fields",""
"passed","Tue Apr 04 05:01:29 GMT 2023","Tue Apr 04 05:01:29 GMT 2023","370","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchWithInvalidId","Test search with invalid id",""
"passed","Tue Apr 04 05:01:28 GMT 2023","Tue Apr 04 05:01:28 GMT 2023","429","","User Search Tests","","gorest.api.tests.UserSearchTests","testSearchByEmail","Test search by email",""
"passed","Tue Apr 04 05:01:36 GMT 2023","Tue Apr 04 05:01:36 GMT 2023","301","","Users Tests","","gorest.api.tests.UsersTests","getDeletedUser","Get deleted user",""
"passed","Tue Apr 04 05:01:43 GMT 2023","Tue Apr 04 05:01:43 GMT 2023","333","","Users Tests","","gorest.api.tests.PostsTests","deleteCreatedPost","Delete new post",""
"passed","Tue Apr 04 05:01:43 GMT 2023","Tue Apr 04 05:01:43 GMT 2023","382","","Users Tests","","gorest.api.tests.PostsTests","updateCreatedPostPatch","Update created new post - PATCH",""
"passed","Tue Apr 04 05:01:43 GMT 2023","Tue Apr 04 05:01:44 GMT 2023","730","","Users Tests","","gorest.api.tests.PostsTests","getDeletedPost","Get deleted post",""
"passed","Tue Apr 04 05:01:40 GMT 2023","Tue Apr 04 05:01:41 GMT 2023","759","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testValidPaginationValues","Test valid pagination values",""
"passed","Tue Apr 04 05:01:39 GMT 2023","Tue Apr 04 05:01:40 GMT 2023","621","","User Pagination Tests","","gorest.api.tests.UserPaginationTests","testMaxPerPageValue","Test max per page value",""
